,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
16,2023-12-17,14:00,Matchweek 17,Sun,Home,W,2,0,Brighton,2.3,0.7,49,60257.0,Martin Ødegaard,4-3-3,Tim Robinson,Match Report,,46.0,2.0,38.0,2.0,26.0,8.0,14.2,0.0,0,-0.3,2023,Arsenal
17,2023-12-23,17:30,Matchweek 18,Sat,Away,D,1,1,Liverpool,0.7,1.0,48,57548.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,,23.0,2.0,17.0,0.0,13.0,2.0,17.2,0.0,0,0.3,2023,Arsenal
18,2023-12-28,20:15,Matchweek 19,Thu,Home,L,0,2,West Ham,2.7,1.4,73,60261.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,58.0,0.0,51.0,0.0,30.0,8.0,16.8,0.0,0,-2.7,2023,Arsenal
19,2023-12-31,14:00,Matchweek 20,Sun,Away,L,1,2,Fulham,1.6,1.2,60,24444.0,Martin Ødegaard,4-3-3,Joshua Smith,Match Report,,23.0,1.0,18.0,0.0,13.0,3.0,15.4,1.0,0,-0.6,2023,Arsenal
20,2024-01-20,12:30,Matchweek 21,Sat,Home,W,5,0,Crystal Palace,3.3,0.3,60,60284.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,36.0,9.0,28.0,6.0,21.0,7.0,16.7,0.0,0,1.7,2023,Arsenal
21,2024-01-30,19:30,Matchweek 22,Tue,Away,W,2,1,Nott'ham Forest,1.2,0.5,73,29387.0,Martin Ødegaard,4-3-3,Simon Hooper,Match Report,,35.0,2.0,29.0,1.0,19.0,3.0,17.6,0.0,0,0.8,2023,Arsenal
22,2024-02-04,16:30,Matchweek 23,Sun,Home,W,3,1,Liverpool,3.5,0.4,43,60374.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,27.0,5.0,19.0,3.0,15.0,7.0,14.2,0.0,0,-0.5,2023,Arsenal
23,2024-02-11,14:00,Matchweek 24,Sun,Away,W,6,0,West Ham,3.6,0.2,70,62475.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,,49.0,12.0,43.0,8.0,24.0,11.0,16.0,0.0,1,2.2,2023,Arsenal
24,2024-02-17,15:00,Matchweek 25,Sat,Away,W,5,0,Burnley,2.3,0.3,64,21311.0,Martin Ødegaard,4-3-3,Jarred Gillett,Match Report,,27.0,9.0,18.0,5.0,15.0,6.0,16.8,1.0,1,2.5,2023,Arsenal
25,2024-02-24,20:00,Matchweek 26,Sat,Home,W,4,1,Newcastle Utd,2.8,0.2,55,60298.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,30.0,6.0,25.0,5.0,18.0,7.0,13.8,0.0,0,0.2,2023,Arsenal
26,2024-03-04,20:00,Matchweek 27,Mon,Away,W,6,0,Sheffield Utd,2.3,0.2,80,29157.0,Martin Ødegaard,4-3-3,Samuel Barrott,Match Report,,36.0,8.0,29.0,7.0,22.0,9.0,15.6,1.0,0,2.7,2023,Arsenal
